video_id,question_type,question,is_correct_base,predicted_idx_base,is_correct_other,predicted_idx_other,change
I3lGH_9Rieg_000001_000011,predictive_reason,Why?,False,2,True,4,improved
I3lGH_9Rieg_000001_000011,counterfactual_reason,Why?,False,2,True,1,improved
QhJ_Dw9qOIw_000000_000010,counterfactual,What would happen if [person_1] put the dish aside?,False,0,True,4,improved
QhJ_Dw9qOIw_000000_000010,counterfactual_reason,Why?,False,1,True,3,improved
TFfbXC3HSaY_000019_000029,descriptive,What is [person_1] doing?,False,4,True,3,improved
TFfbXC3HSaY_000019_000029,predictive_reason,Why?,False,2,True,3,improved
TFfbXC3HSaY_000019_000029,counterfactual_reason,Why?,False,4,True,0,improved
aJ1RpsnrN6o_000043_000053,counterfactual,What would happen if [chair_2] didn't open?,False,1,True,4,improved
_DcXBurCxB0_000101_000111,predictive,What will [person_1] do next?,False,0,True,1,improved
_DcXBurCxB0_000101_000111,counterfactual_reason,Why?,False,3,True,2,improved
0s2mNI32vEo_000023_000033,predictive_reason,Why?,False,0,True,4,improved
gx1xxazr0Ho_000122_000132,predictive,What will [person_1] do next?,False,1,True,0,improved
nO12iYRCmLY_000043_000053,predictive,What will the [person_1] do next?,False,3,True,0,improved
nO12iYRCmLY_000043_000053,predictive_reason,Why?,False,2,True,0,improved
BVMxdSXghoI_000120_000130,predictive,What will [person_1] do next?,False,0,True,3,improved
XoKbvDVBHUM_000066_000076,predictive,What will happen with [person_1]?,False,3,True,1,improved
xUrK4VFLPTE_000007_000017,descriptive,Where is [person_1]?,False,4,True,3,improved
xUrK4VFLPTE_000007_000017,counterfactual_reason,Why?,False,0,True,2,improved
m61tIShNZuA_000014_000024,descriptive,What color is the floor?,False,1,True,2,improved
m61tIShNZuA_000014_000024,predictive_reason,Why?,False,0,True,1,improved
L-FVSUDIGTE_000026_000036,predictive,What is [person_1] going to do?,False,1,True,4,improved
wsTvQkf0Ks4_000009_000019,counterfactual_reason,Why?,False,1,True,4,improved
1ffk0zeFg9k_000029_000039,predictive,What will [person_2] do after roasting the marshmallows?,False,1,True,2,improved
1ffk0zeFg9k_000029_000039,predictive_reason,Why?,False,2,True,3,improved
1ffk0zeFg9k_000029_000039,counterfactual,What would happen if the gas cooker can't be used?,False,1,True,4,improved
czAwq50QtJo_000004_000014,predictive_reason,Why?,False,4,True,0,improved
fbxlzh3kK9g_000004_000014,descriptive,Where is [person_1] at?,False,3,True,2,improved
fbxlzh3kK9g_000004_000014,predictive,What is [person_1] going to do?,False,3,True,4,improved
UM2LWfQn2LA_000004_000014,predictive_reason,Why?,False,3,True,1,improved
GCKH5DGXTec_000034_000044,predictive_reason,Why?,False,1,True,4,improved
TdFGn36GIv0_000013_000023,descriptive,Where is [book_1]?,False,2,True,0,improved
TdFGn36GIv0_000013_000023,predictive_reason,Why?,False,2,True,3,improved
4AufpbOUVZ0_000004_000014,explanatory,Why is [person_1] doing exercise?,False,3,True,4,improved
4AufpbOUVZ0_000004_000014,counterfactual_reason,Why?,False,2,True,4,improved
z1TV-NUXpZE_000125_000135,predictive,What will [person_1] do?,False,4,True,0,improved
z1TV-NUXpZE_000125_000135,counterfactual,What will happen if there is nothing in the ring box?,False,1,True,2,improved
XSu5dteR2Ko_000013_000023,counterfactual_reason,Why?,False,1,True,3,improved
Zgbo6Ms074g_000003_000013,explanatory,Why is [person_2] smiling so happily?,False,3,True,1,improved
Zgbo6Ms074g_000003_000013,counterfactual,What will happen if the power is off ?,False,2,True,1,improved
pdGBGTGRmko_000007_000017,predictive,What will [person_1] do?,False,0,True,1,improved
QW8Cab_QpGI_000022_000032,counterfactual,What will happen if [person_1] does the wrong moves?,False,3,True,0,improved
OLPTy8seteQ_000000_000010,counterfactual_reason,Why?,False,1,True,3,improved
l34TPPTSdu4_000025_000035,counterfactual,What would happen if [person_1] cried?,False,4,True,2,improved
ItIWB0Sxmzc_000002_000012,predictive,What does [person_1] going to do?,False,2,True,4,improved
ItIWB0Sxmzc_000002_000012,counterfactual,What if the drill doesn't work?,False,4,True,2,improved
nC5VbWS2YjY_000038_000048,descriptive,Where are [person_1]?,False,2,True,4,improved
nC5VbWS2YjY_000038_000048,counterfactual,What will happen if it becomes dark.,False,4,True,1,improved
x9D3OKeeTI4_000024_000034,descriptive,What is [person_1] doing?,False,3,True,1,improved
x9D3OKeeTI4_000024_000034,predictive_reason,Why?,False,3,True,1,improved
x9D3OKeeTI4_000024_000034,counterfactual_reason,Why?,False,2,True,3,improved
DEihlnGFC7I_000000_000010,explanatory,Why is [person_1] jumping outside?,False,1,True,4,improved
F2-R4tjXSKc_000000_000010,counterfactual_reason,Why?,False,2,True,1,improved
NiCYxgQamgE_000000_000010,descriptive,What is [person_1] doing?,False,3,True,4,improved
NiCYxgQamgE_000000_000010,predictive_reason,Why?,False,4,True,0,improved
lTAgxxr-580_000119_000129,counterfactual,What will happen if many people come here?,False,1,True,2,improved
Iy8GDulRVuc_000066_000076,explanatory,Why does [person_1] need [cup_1]?,False,0,True,4,improved
Ej51TIzhcDo_000031_000041,predictive_reason,Why?,False,1,True,0,improved
Ka2xwUFLH2Y_000027_000037,predictive,What is the [person_1] going to do ?,False,4,True,0,improved
Ka2xwUFLH2Y_000027_000037,predictive_reason,Why?,False,2,True,1,improved
cno2kD23RmQ_000003_000013,descriptive,What is [person_1] doing?,False,4,True,1,improved
cno2kD23RmQ_000003_000013,counterfactual_reason,Why?,False,3,True,0,improved
n09E18aN1wU_000000_000010,counterfactual,What will happen if [person_1] fall ?,False,3,True,4,improved
znXPe8rdxF8_000096_000106,explanatory,Why is [person_2] smiling so happily?,False,2,True,4,improved
znXPe8rdxF8_000096_000106,counterfactual,What will happen if the power is off?,False,3,True,1,improved
yTHCOarnqN8_000140_000150,counterfactual_reason,Why?,False,4,True,2,improved
o0TUFW_jcD4_000003_000013,predictive,What will [person_1] do?,False,2,True,4,improved
o0TUFW_jcD4_000003_000013,counterfactual,What if [person_1] has slippery hands?,False,3,True,0,improved
QcIZs-zyPkc_000023_000033,counterfactual,What will happen if [person_2] cries?,False,4,True,0,improved
4SSe2EIXpZA_000000_000010,predictive_reason,Why?,False,1,True,2,improved
ywIEPhCJC6k_000137_000147,counterfactual_reason,Why?,False,1,True,4,improved
tNx1mJSHzZY_000027_000037,counterfactual_reason,Why?,False,2,True,0,improved
lj2n2p4TQ14_000046_000056,predictive_reason,Why?,False,1,True,3,improved
lj2n2p4TQ14_000046_000056,counterfactual,What would happen if the electricity was cut?,False,0,True,1,improved
WBUwgJkXlik_000030_000040,counterfactual_reason,Why?,False,4,True,0,improved
BiUF1o-74mA_000004_000014,predictive,What is [person_1] going to do?,False,4,True,3,improved
BiUF1o-74mA_000004_000014,counterfactual,What will occur if the driller doesn't work?,False,0,True,2,improved
uENQ-X7yp2Q_000020_000030,predictive,What are the [person_1] and [person_2] going to do?,False,0,True,3,improved
yMBrqex5w2Y_000056_000066,counterfactual_reason,Why?,False,2,True,3,improved
Nf0zgVq7L2Y_000191_000201,explanatory,Why is [person_1] skating?,False,4,True,3,improved
Nf0zgVq7L2Y_000191_000201,counterfactual_reason,Why?,False,0,True,3,improved
TIEE6iGKp9Q_000000_000010,counterfactual,What will happen if [person_1] does not pay attention to [person_2]?,False,0,True,2,improved
6Ze5oejZB84_000572_000582,counterfactual_reason,Why?,False,1,True,0,improved
dS-dGXbP-Wc_000009_000019,predictive_reason,Why?,False,1,True,0,improved
iQMPRHeJ2jk_000008_000018,predictive,What will [person_3] do next?,False,1,True,0,improved
CDWoZqvkuEo_000075_000085,descriptive,Where are [person_1] and [person_2]?,False,4,True,0,improved
CDWoZqvkuEo_000075_000085,explanatory,Why is [person_1] holding a basketball ?,False,1,True,3,improved
CDWoZqvkuEo_000075_000085,counterfactual_reason,Why?,False,4,True,0,improved
Smq43qWglO4_000027_000037,descriptive,What color is the [cup_1]?,False,2,True,4,improved
b1Oy9nAE6PQ_000036_000046,descriptive,what is [person_1] wearing?,False,1,True,4,improved
H3E_TBmDaNI_000007_000017,predictive_reason,Why?,False,0,True,1,improved
H3E_TBmDaNI_000007_000017,counterfactual_reason,Why?,False,0,True,3,improved
gocX5Xmb9Qc_000083_000093,explanatory,Why is [person_1] here?,False,4,True,3,improved
gocX5Xmb9Qc_000083_000093,predictive_reason,Why?,False,4,True,2,improved
NhwdWRZ5bek_000004_000014,counterfactual,What would happen if [chair_1] fell over suddenly?,False,1,True,4,improved
cuDoVq89c2M_000016_000026,predictive,What is [person_1] going to do ?,False,1,True,3,improved
HXzFBjsGBz4_000054_000064,counterfactual_reason,Why?,False,0,True,3,improved
eZlOaGwJ-cc_000064_000074,predictive_reason,Why?,False,3,True,2,improved
K6FJont-_tk_000000_000010,explanatory,Why is [person_1] riding a mechanical bull?,False,0,True,4,improved
K6FJont-_tk_000000_000010,counterfactual,What will happen if [person_1] is too fat?,False,3,True,2,improved
FVQ5WTwm2Vg_000000_000010,explanatory,Why is [person_1] standing there?,False,2,True,0,improved
FVQ5WTwm2Vg_000000_000010,predictive,What is [person_1] going to do?,False,1,True,4,improved
FVQ5WTwm2Vg_000000_000010,predictive_reason,Why?,False,4,True,3,improved
TgoyIhljqoc_000171_000181,predictive,What is [person_1] going to do?,False,1,True,3,improved
TgoyIhljqoc_000171_000181,predictive_reason,Why?,False,3,True,4,improved
l8kKsQpMJ1o_000005_000015,descriptive,What is [person_1] doing?,False,3,True,2,improved
l8kKsQpMJ1o_000005_000015,explanatory,Why does [person_1] knock the fruit by palm?,False,1,True,0,improved
l8kKsQpMJ1o_000005_000015,counterfactual_reason,Why?,False,0,True,2,improved
85W9IvNkf9E_000006_000016,counterfactual_reason,Why?,False,4,True,2,improved
RYd8OzUMoAw_000256_000266,explanatory,Why is [person_1] inside?,False,3,True,1,improved
Dkhp6VHgsbM_000035_000045,predictive,What does [person_1] want to do next?,False,0,True,2,improved
Dkhp6VHgsbM_000035_000045,predictive_reason,Why?,False,1,True,4,improved
Dkhp6VHgsbM_000035_000045,counterfactual_reason,Why?,False,1,True,3,improved
_ivg7OidMh4_000007_000017,predictive_reason,Why?,False,0,True,3,improved
KercqLVjtDA_000067_000077,explanatory,Why is [person_1] standing next to the door?,False,1,True,4,improved
MboXzhaJVuA_000164_000174,counterfactual,What will occur if the bagpipe deters?,False,3,True,1,improved
g3gZAWSrAOU_000746_000756,predictive_reason,Why?,False,1,True,0,improved
1VBg21aaiKM_000070_000080,descriptive,Where is [person_1]?,False,4,True,1,improved
1VBg21aaiKM_000070_000080,explanatory,Why is [person_1] standing   ?,False,1,True,0,improved
k7PcZjkDGNI_000000_000010,descriptive,Where is [person_1]?,False,4,True,2,improved
k7PcZjkDGNI_000000_000010,predictive,What is [person_1] going to do?,False,0,True,1,improved
kvsRUQs3a2w_000050_000060,explanatory,Why is [person_1] outside?,False,4,True,0,improved
B3-LASEzdAs_000002_000012,descriptive,Where are [person_1] and [person_2]?,False,1,True,0,improved
IdN4kH-AtB8_000000_000010,predictive,What is the [person_1] going to do?,False,3,True,4,improved
IdN4kH-AtB8_000000_000010,predictive_reason,Why?,False,0,True,3,improved
js1eY10H25c_000004_000014,predictive_reason,Why?,False,2,True,3,improved
js1eY10H25c_000004_000014,counterfactual_reason,Why?,False,3,True,4,improved
RM7NRwcFVLU_000033_000043,predictive,What will [person_2] do next?,False,2,True,0,improved
9BMffGO9MkM_000188_000198,descriptive,Where is [person_1]?,False,1,True,2,improved
E9kNBA88sp4_000041_000051,predictive,What is the [person_1] going to do?,False,0,True,4,improved
E9kNBA88sp4_000041_000051,counterfactual,What will happen if the [person_1] keeps back straight?,False,4,True,0,improved
_bPnNfcZSAo_000263_000273,descriptive,What is the [person_1] wearing?,False,4,True,0,improved
A8K8s8FWJLk_000109_000119,predictive,What will happen to [person_1] after [person_3] turns around?,False,3,True,2,improved
A8K8s8FWJLk_000109_000119,predictive_reason,Why?,False,1,True,4,improved
FEVmevQ_Q3Q_000005_000015,descriptive,Where is [person_1]?,False,4,True,0,improved
FEVmevQ_Q3Q_000005_000015,explanatory,Why is [person_1] taking [cup_2]?,False,3,True,2,improved
XndRt_rxB7A_000030_000040,explanatory,Why are they all standing?,False,1,True,0,improved
XndRt_rxB7A_000030_000040,counterfactual_reason,Why?,False,0,True,1,improved
H4rmkQcZwoA_000093_000103,predictive_reason,Why?,False,2,True,4,improved
m9wfg0yia40_000034_000044,counterfactual,What would [person_1] did not shout at [person_2]?,False,2,True,1,improved
u4eXGXXeoxo_000083_000093,predictive_reason,Why?,False,2,True,0,improved
tPXM_eQbux8_000180_000190,descriptive,What is material of the wall behind [person_1] ?,False,2,True,4,improved
JMhL526aFGM_000067_000077,predictive_reason,Why?,False,4,True,2,improved
5hAePmvQXBc_000000_000010,counterfactual_reason,Why?,False,3,True,1,improved
qinGn8gzcUo_000035_000045,counterfactual,What if [person_1] was too tired?,False,3,True,1,improved
f729ObhhStI_000031_000041,predictive_reason,Why?,False,3,True,1,improved
7b0sYkelXiQ_000020_000030,predictive_reason,Why?,False,3,True,0,improved
Y3MsYVuIsi8_000020_000030,descriptive,How does the [person_1] go through the desert?,False,3,True,4,improved
vEcbbkr2-MI_000000_000010,counterfactual_reason,Why?,False,0,True,1,improved
BQkTVFO8-dU_000059_000069,descriptive,Where is [chair_1]?,False,0,True,4,improved
dsxLyHf_H6o_000141_000151,predictive_reason,Why?,False,0,True,3,improved
2xJU1xhMp7g_000064_000074,descriptive,What is [person_1] holding?,False,2,True,0,improved
2xJU1xhMp7g_000064_000074,predictive,What is [person_1] going to do?,False,3,True,4,improved
karmVwMgErk_000070_000080,predictive_reason,Why?,False,2,True,3,improved
karmVwMgErk_000070_000080,counterfactual_reason,Why?,False,1,True,3,improved
Ebzx2N4LIbQ_000008_000018,predictive_reason,Why?,False,3,True,2,improved
YKzOHyuvDVA_000016_000026,counterfactual_reason,Why?,False,1,True,4,improved
sHYxO1QsBwY_000150_000160,predictive_reason,Why?,False,0,True,2,improved
sHYxO1QsBwY_000150_000160,counterfactual,What would happen when a child suddenly falls down?,False,2,True,1,improved
KRdZT94MJuM_000138_000148,counterfactual_reason,Why?,False,2,True,0,improved
BPmkFmuz_2A_000035_000045,predictive_reason,Why?,False,1,True,2,improved
s4C4FgTQIVA_000004_000014,counterfactual_reason,Why?,False,2,True,0,improved
pyTsLOeUv0o_000012_000022,predictive_reason,Why?,False,0,True,1,improved
gf7QkXKOV_k_000009_000019,predictive,What is [person_1] going to do?,False,3,True,0,improved
5R-R7EusXVo_000070_000080,predictive,What is [person_1] going to do?,False,3,True,4,improved
5R-R7EusXVo_000070_000080,counterfactual,What will happen if it rains?,False,0,True,1,improved
V-Tifjv05j8_000087_000097,predictive_reason,Why?,False,1,True,0,improved
bzriFxtCJIc_000025_000035,counterfactual_reason,Why?,False,2,True,0,improved
fKuRbNQbqRM_000005_000015,descriptive,Where is [person_1]?,False,3,True,0,improved
pBQWu0NIgjk_000000_000010,counterfactual_reason,Why?,False,3,True,0,improved
sylsoHPIW9U_000037_000047,counterfactual_reason,Why?,False,4,True,1,improved
EiXWH6DqvlY_000015_000025,predictive,What is [person_1] about to do?,False,1,True,2,improved
EiXWH6DqvlY_000015_000025,predictive_reason,Why?,False,4,True,1,improved
a4kIRg8YvWw_000000_000010,descriptive,What color of the [chair_1]?,False,0,True,4,improved
a4kIRg8YvWw_000000_000010,predictive_reason,Why?,False,0,True,1,improved
fynKk3eJELk_000000_000010,predictive,What is [person_4] going to do?,False,3,True,1,improved
fynKk3eJELk_000000_000010,predictive_reason,Why?,False,1,True,2,improved
aCwlLVoSVSU_000014_000024,descriptive,"Where are [person_1] , [person_2] and [person_3]?",False,1,True,2,improved
t12yOvRg1mI_000031_000041,counterfactual_reason,Why?,False,3,True,2,improved
kCKKj2P_xpQ_000004_000014,descriptive,What is the [person_1] doing?,False,3,True,1,improved
kCKKj2P_xpQ_000004_000014,predictive,What is the [person_1] going to do?,False,0,True,2,improved
kCKKj2P_xpQ_000004_000014,predictive_reason,Why?,False,3,True,0,improved
kCKKj2P_xpQ_000004_000014,counterfactual_reason,Why?,False,4,True,3,improved
iujQLnWlrpY_000007_000017,explanatory,Why does [person_1] smash the tire?,False,2,True,1,improved
